question_id,question
2340,จากสินทวีคอนโดบ้านฉางครับ  แก้ไขแล้วครับ  ช่วยตรวจสอบหน่อยครับ  อุทัย  0860770377  (ส่งมาทางไลน์  วันที่  27/4/2569)  ส่งคิวได้เลย  ลูกค้าเสียเงินลงโปรแกรมใหม่ค่ะ
2341,Re-Index  ไม่ได้  สำรองข้อมูล  ไม่ได้
2342,***  ธัญญาภิรมย์รังสิตคลอง  5  หน่วยงาน  เดอะไนน์  ส่ง  Format  Excel  มาให้เช็คก่อนลงโปรแกรม  ติดต่อ  คุณอุ๋ม  0952191996  (ส่งมาทางไลน์วันที่  27/4/2569)
2343,ลูกค้าขอใบเสนอราคา  MA  ให้ส่งไปที่  Email:libraryhouzejaran@gmail.com
2344,ลูกค้าขอใบเสนอราคา  MA  ให้ส่งไปที่  Email:supalai.rama8@gmail.com
2345,รันเลขที่ใบแจ้งหนี้ผิด
2346,ยอดหนี้ในระบบยังไม่ตัด
2347,ปริ้นท์ใบแจ้งหนี้ไม่ตรงฟอร์ม
2348,***  IRM  (เมโทร  จอมเทียน  คอนโดเทล  และมอนเทอเรย์  เพลซ)  -  ส่งเมล์แจ้งติดตั้งสิทธิื  CM-GL  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  27/4/2569)
2349,ส่งคิวจันทร์บ่าย  สอบถามการใช้งานโปรแกรม
2350,ติดต่อกลับลูกค้าด้วยค่ะ  ลูกค้าส่ง  Format  Excel  มาให้ใหม่  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  27/4/2569)
2351,***  IRM-Extra  (หมู่บ้านพีแลนด์2  )  -  ส่งเมล์แจ้งย้ายโปรแรกม  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  27/4/2569  )
2352,หมายเหตุออกมาไม่ครบ
2353,***  Remote  เพิ่ม  LAN  1  จุด  (วันที่  27/4/2569)ให้  บ้านเอื้ออาทรถลาง  2  ติดต่อ  นิติ  099-3562429  (ลูกค้าโอนเงินให้แล้ว  วันที่  27/4/69  จำนวน  2  675  บาท)
2354,ลูกค้าขอใบเสนอราคา  MA-UP  ให้ส่งไปที่  Email:pim.nana.a2022@gmail.com
2355,***  เวลา  14.00  น.  Remote  ลงโปรแกรม  CM+Import  (วันที่  27/4/2569)  ให้  The  THE  TITLE  SERENITY  NAIYANG  หน่วยงาน  บ.ร่มโพธิ์  พร็อพเพอร์ตี้  ติดต่  คุณสโรชา  น้อมกรานต์  0630799682  (ลูกค้าฝากเช็คให้แล้ว)  วันที่  22/4/2569  จำนวน  31  030  บาท)  **//**ออกใบเสร็จวันที่  23/4/2569  //เลขที่  69/0579  1534065959  Anydesk  ครับ(ส่งมาทางไลน์วันที่  27/4/2569)
2356,ลูกค้าขอใบเสนอราคา  MA  ให้ส่งไปที่  Line:  เบอร์โทร  0642967510
2357,บ้านประชานิเวศน์  2  รบกวนสอบถามค่ะ  พอดีมีใบเสร็จที่ต้องแก้ไข  เพื่อปริ้นวันนี้  แต่ทางqpm  บัญชี  ปิดออฟฟิศค่ะ  ทาง  sofbiz  สามารถแก้ไขให้ได้ไหมคะ  ฝากเจ้าหน้าที่ติดต่อกลับค่ระ  นิ่ม  (นิติ)  0863058655  (ส่งมาทางไลน์  วันที่  27/4/2569)
2358,***  IRM  (ดีคอนโด  แคมปัส  รังสิต)  -  ส่งเมล์แจ้งติดตั้งสิทธิื  CM-GL  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  27/4/2569)
2359,ลูกค้าขอใบเสนอราคา  MA-10%  ให้ส่งไปที่  Email:1081.escape.d@gmail.com
2360,สวัสดีค่ะ  นิติบุคคลอาคารชุด  ดิ  เอ๊จท์  ห้องชุด  เลขที่  38/509  ในลูกหนี้ค้างชำระรายบุคคลมีค่าน้ำประปา  เดือน  05/2014  จำนวน  210  บาท  แต่พอจะตัดค่าใช้จ่ายยอดดังกล่าว  ปรากฎว่าไม่มีให้ยอดให้ตัดค่าใช้จ่ายค่ะ  (ส่งมาทางไลน์วันที่  27/4/2569)
2361,***  Remote  Update  Program  (วันที่  27/4/2569)  ให้  คาซ่า  เวล่า  โฮเต็ล  คอนโดมิเนียม  ติดต่อ  คุณชลาลัย  (เปิ้ล)  0996898759  (ลูกค้าโอนเงินให้แล้ว  วันที่  25/4/69  จำนวน  5  200  บาท)  **//**ออกใบเสร็จวันที่  27/4/2569  //เลขที่  69/0590
2362,สอบถามการส่งใบเสร็จเป็นไฟล์  PDF
2363,รบกวน  ติดต่อกลับ  นิติฯ  10ด้วยนะค่ะ  รบกวนดูให้หน่อยค่ะ  029161365  (ส่งมาทางไลน์  วันที่  27/14/2569)
2364,***  IRM-Extra  (กัลปพฤกษ์  พาร์คตึก  A  B)  -  ส่งเมล์แจ้งเข้าหน้าใบเสร็จไม่ได้  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  27/4/2569)
2365,สอบถามปัญหาตอนผ่านรายการฯ
2366,1.เข้าบันทึกใบเสร็จไม่ได้  2.  สำรองข้อมูลไม่ได้
2367,จากสินทวีคอนโดบ้านฉางครับ  อุทัย  0860770377  (ส่งมาทางไลน์  วันที่  28/4/2569)  ส่งคิวได้เลย  ลูกค้าเสียเงินลงโปรแกรมใหม่ค่ะ  ***  ลงโปรแกรมใหม่  ***  (ลูกค้าโอนเงินให้แล้ว)  วันที่  18/10/2568  จำนวน  4  173  บาท)  **//**ออกใบเสร็จเสร็จวันที่  20/10/2568  //เลขที่  68/1302
2368,***  เคหะชุมชนออเงิน  3  -  ส่งเมล์แจ้ง  การออกใบแจ้งหนี้มีปัญหาะ  เนื่องจากไม่แสดงผลหนี้ค้างชำระ  ส่งต่อให้ทุกคนแล้ว(Email:วันที่  28/4/2569)
2369,***  ปาริชาต  รังสิต  คลองสี่  -  ส่ง  Format  Excel  มาให้  Import  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  28/4/2569)
2370,ออกใบลดหนี้ไปแล้ว  แต่หายไป
2371,สวัสดีค่ะจาก  grand  florida  นะคะพอดีว่าระบบ  softwick  ค้างและตอนนี้ไม่สามารถเข้าได้ค่ะรบกวนติดต่อกลับ  095  090  3141  ชื่อวิค่ะ  (ส่งมาทางไลน์  วันที่  28/4/2569)
2372,ลูกค้าขอใบเสนอราคา  MA-10%  ให้ส่งไปที่  Line:  เบอร์โทร  0894974555  ชื่อ  :  ANANDA  SPORTLIFE
2373,ใบเสร็จออกมาไม่ตรงเดือน
2374,รับชำระล่วงหน้าแล้วแต่ยังมียอดค้างอยู่
2375,ปริ้นใบเสร็จออกมาแล้ว  คำอธิบายรายการค่าน้ำไม่ขึ้น
2376,เปลี่ยนชื่อผู้จัดการในฟอร์มใบแจ้งหนี้
2377,***  PMC  (เวิร์คเพลส  ราชพฤกษ์-จรัญสนิทวงศ์)  -  ส่ง  Format  Excel  มาให้  Import  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  28/4/2569)
2378,สอบถามการดึงรายชื่อลูกบ้านเป็นไฟล์  Excel
2379,ประมวลผลฯออกมาแล้ว  ระบบไม่แยกบิลให้
2380,***  Remote  Update  Program  (วันที่  28/4/25698)  ให้  บ.กันยารัตน์  พร็อพเพอร์ตี้  ติดต่อ  คุณวิไล  จำปาพันธ์  063-0121788  (ลูกค้าโอนเงิน  วันที่  28/4/69  จำนวน  5  350  บาท)
2381,***  Remote  Update  Program  (วันที่  28/4/25698)  ให้  เดอะซีรีส์  ติวานนท์  ติตด่อ  นิติ  085-8367592  (ลูกค้าฝากเช็คมาให้แล้ว)  วันที่  26/4/2569  ยอด  3  755.70  บาท)  **//**  ออกใบเสร็จวันที่  27/4/2569  //เลขที่  69/0588
2382,จากสินทวีคอนโดบ้านฉางครับ  อุทัย  0860770377  หลังรีสตาร์ทแล้วเข้าไม่ได้ครับ  (ส่งมาทางไลน์  วันที่  28/4/2569)  ส่งคิวได้เลย  ลูกค้าเสียเงินลงโปรแกรมใหม่ค่ะ
2383,สอบถามการเพิ่มผู้ใช้งาน  และลบรหัสผู้ใช้งานคนเก่าออก
2384,ดึงข้อมูลเป็นไฟล์  excel  ไม่ได้
2385,ลูกค้าขอใบเสนอราคา  MA  ให้ส่งไปที่  Email:pkv70.rama5@gmail.com
2386,สอบถามการรันเลขที่ใบแจ้งหนี้
2387,ผ่านรายการไปแล้ว  แต่ลงหน่วยค่าน้ำผิด
2388,เพิ่มรายการแจ้งหนี้
2389,ลูกค้าขอใบเสนอราคา  MA  ให้ส่งไปที่  Email:  z2condofamily@gmail.com
2390,***  Remote  เพิ่มทะเบียน  1  ทะเบียน  (วันที่  28/4/2569)  ให้  ทรู  หน่วยงาน  นาราทาวน์  (ลูกค้าโอนเงินให้แล้ว  วันที่  24/4/69  จำนวน  5  200  บาท)  ส่งเมล์ต่อให้ทุกคนแล้ว  (Email:วันที่  24/4/2569)  **//**ออกใบเสร็จวันที่  24/4/2569  //เลขที่  69/0581
2391,ยอดหนี้เบิ้ล
2392,ลูกค้าขอใบเสนอราคา  MA  ให้ส่งไปให้ที่  Line:  เบอร์โทร  0644794045  ชื่อ  :  NiTi.CasaVille  RW2
2393,***  IRM-Extra  (H2O  เขาใหญ่)  -  ส่งเมล์แจ้งแข้าใบเสร้จไม่ได้  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  28/4/2569)
2394,***  Remote  ลงโปรแกรม  HJ+Import  (วันที่  28/4/2569)  ให้  ม.ธัญญาภิรมย์รังสิตคลอง  5  หน่วยงาน  เดอะไนน์  ติดต่อ  คุณอุ๋มผจกธัญญาภิรมย์  0952191996  (ลูกค้าโอนเงินให้แล้ว  วันที่  25  28/4/69  จำนวน  13  312  บาท)***เช่ารายปี  ***//**ออกใบเสร็จวันที่  28/4/2569  //เลขที่  69/0598
2395,แก้ไขตัวหนังสือ
2396,***  IRM-Extra  (มารวยโสธร  2)  -  ส่งเมล์แจ้ง  ตัวหนังสือในใบเสร็จรับเงินทับกัน  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  28/4/2569)
2397,สอบถามการปริ้นท์ใบแจ้งหนี้
2398,นิติบุคคลหมู่บ้านจัดสรร  สาริน  ซิตี้(สามลม)  0962201359  พี่ครับ  ฝากรบกวนสอบถามครับ  พอดีว่าจะย้ายตู้serverครับ  อันนี้ผมต้องทำอะไรก่อนไหมครับ  หรือว่าสามารถเคลื่อนย้ายตู้ได้เลยครับ  เบื้องต้นได้ย้ายไวไฟไปก่อน  เหลือแค่ตู้ครับ  (ส่งมาทางไลน์  วันที่  28/4/2569)
2399,ลูกค้านัดรับเช็ค  MA  และขอใบเสนอราคา  MA  ใหม่ให้ส่งไปให้ที่  Email:niti021015249@gmail.com
2400,ระบบขึ้นลูกหนี้สีแดง
2401,เพิ่มค่าเก็บขยะในใบแจ้งหนี้
2402,ลูกค้าขอใบเสนอราคา  MA  ให้ส่งไปให้ที่  Email:thecolors297@gmail.com
2403,***  Remote  เพิ่ม  LAN  1  จุด  (วันที่  28/4/2569)ให้  บ้านเอื้ออาทรถลาง  2  ติดต่อ  นิติ  099-3562429  (ลูกค้าโอนเงินให้แล้ว)  วันที่  27/4/2569  จำนวน  2  675  บาท)  **//**ออกใบเสร็จวันที่  27/4/2569  //เลขที่  69/0591  บ้านเอื้ออาทรถลาง  2รบกวนสอบถามหน่อยคะคือว่าเมื่อวานตอนที่จะติดตั้งโปรแกรม  ซอฟบิส  แล้วไม่สามรถมองเห็นเครื่องแม่ได้กรณีนี้ตองแก้ไขอย่างไรคะตอนที่เจ้าหน้าที่บอกยังไม่้ข้าใจคะ  (ส่งมาทางไลน์  วันที่  28/4/2569)
2404,เข้าบันทึกใบเสร็จไม่ได้  ของหน่วยงาน  (มายเพลส  แจ้งวัฒนะ  -  ติวานนท์)  (  MY  )
2405,สอบถามปัญหาการออกใบแจ้งหนี้ยอดค้างชำระไม่ขึ้น
2406,***  IRM  (ดีคอนโด)  -  ส่งเมล์แจ้ง  ให้ติดตั้งสิทธิ์  CM  และ  GL  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  29/4/2569)
2407,ลูกค้าขอใบเสนอราคา  MA-10%  ให้ส่งไปที่  Line  ID:  wi6134
2408,จำรหัสเข้าโปรแกรมไม่ได้
2409,ออกใบเสร็จไม่ได้ขึ้นใบเสร็จซ้ำ
2410,โปรแกรม  Error  ขึ้นว่าทำงานผิดพลาด
2411,แก้ไขจดหมายทวงถาม
2412,ปริ้นใบเสร็จไม่ตรงฟอร์ม(ตัวหนังสือตกขอบ)
2413,***  Remote  Update  Program  (วันที่  29/4/2569)  ให้  เอกสิน  คอนโดมิเนียม  ติดต่อ  คุณเมย์  0626389915  (ลูกค้าฝากเช็คให้แล้ว  วันที่  29/4/69  จำนวน  3  650.40  บาท)
2414,***  Remote  เพิ่ม  LAN  1  จุด  (วันที่  29/4/2569)ให้  บ้านเอื้ออาทรถลาง  2  ติดต่อ  นิติ  099-3562429  (ลูกค้าโอนเงินให้แล้ว)  วันที่  27/4/2569  จำนวน  2  675  บาท)  **//**ออกใบเสร็จวันที่  27/4/2569  //เลขที่  69/0591  บ้านเอื้ออาทรถลาง  2รบกวนสอบถามหน่อยคะคือว่าเมื่อวานตอนที่จะติดตั้งโปรแกรม  ซอฟบิส  แล้วไม่สามรถมองเห็นเครื่องแม่ได้กรณีนี้ตองแก้ไขอย่างไรคะตอนที่เจ้าหน้าที่บอกยังไม่้ข้าใจคะ  (ส่งมาทางไลน์  วันที่  28/4/2569)
2415,ปริ้นจดหมายทวงถามไม่ได้
2416,เอาลูกหนี้ออก
2417,ออกใบเสร็จแล้วแต่ยังมียอดค้าง
2418,Program  GL  Expire  ของหน่วยงาน  (  ฟลอร่าวิลล์)  (เมธาเพลสรัชดา  )
2419,***  โทรกลับ  ซิตี้วิลล์  ตึก  A-G  ติดต่อ  คุณโจ๊ก  091-7239659  (เรียกดูข้อมูลไม่ได้)
2420,สอบถามรายละเอียด  และราคาโปรแกรม
2421,กดบันทึกข้อมูลไม่ได้
2422,เปลี่ยนชื่อเจ้าของร่วม
2423,***  IRM-Extra  (ซิตี้ลิงค์  ซิดนี่ย์)  -  ส่งเมล์แจ้ง  ใบเสร็จรับเงินปริ้นส์ไม่ออก  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  29/4/2569)
2424,เลขที่ใบเสร็จกระโดด
2425,ปริ้นใบแจ้งหนี้ออกมาแล้ว  รายการออกมาไม่ครบ
2426,***  ศุภาลัย  ปาร์ค  แคราย  -  งามวงศ์วาน  -  ส่งหนังสือมาให้ย้ายโปรแกรม  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  29/4/2569)
2427,Reindex  แล้วค้าง
2428,สอบถามการเปลี่ยนชื่อเจ้าของห้อง
2429,***  IRM-Extra  (บอสตัน)  -  ส่งเมล์แจ้งให้ติดตั้งสิทธิ์  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  30/4/2569)
2430,Remote  Update  Program  (วันที่  30/4/25698)  +แก้ไขปัญหาระบบ(ลูกค้าเอาเครื่องไปลงวินโดว์มาใหม่///โปรแกรมหายไปจะให้ลงข้อมูลให้ใหม่  (ลูกค้าโอนเงินให้แล้ว)  วันที่  13/3/2569  จำนวน  5  200  บาท)**//**  ออกใบเสร็จวันที่  27/4/2569  //เลขที่  69/0589
2431,ปริ้นใบแจ้งหนี้ไม่ตรงฟอร์ม(ตกขอบ)
2432,สอบถามการออกใบแจ้งหนี้ราย  6  เดือน
2433,***  บ.  เจ  พลัส  พร็อพเพอร์ตี้  เมเนจเม้นท์  -  ส่งเมล์แจ้งถอนโปรแกรม  หน่วยงาน  บาหลีบีช  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  24/4/2569)
2434,***  มารีน่า  เบย์  ฟร้อนท์  -  ส่งหนังสือมาให้ย้ายโปรแกรม  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  30/4/2569)
2435,***  ส่งคิว  Update  Program  +  แก้ปัญหา(ปริ้นใบเสร็จไม่ได้รายการหายไป)ได้เลยค่ะ  (วันที่  30/4/2569)  (ลูกค้าโอนเงินให้แล้ว)  วันที่  30/4/2569  จำนวน  5  778  บาท)  **//**ออกใบเสร็จวันที่  30/4/2569  //เลขที่  69/0605
2436,สอบถามการลงข้อมูลในระบบ
2437,ค่าน้ำไม่ขึ้น
2438,สอบถามการเพิ่มผู้ใช้งาน
2439,แก้ไขหน่วยค่าขยะ
2440,สวัสดีคะ  รบกวนแก้ไขบิลแจ้งหนี้  พิมพ์ทับกันคะ  (ส่งมาทางไลน์  วันที่  30/4/2569)
2441,คอนโดเลตมิสท์พระราม  9  ถ้าบันทึกยอดยกมา  ไปแล้วแต่ต้องการจะแก้ไขทำอย่างไรคะ  โทรกลับ082-9168787  ด้วยค่ะ  (ส่งมาทางไลน์  วันที่  30/4/2569)
2442,สอบถามการออกใบแจ้งหนี้  แต่ไม่ให้มียอดยกมาติดมาด้วย
2443,1.สอบถามการตั้งหนี้  2.  เปลี่ยนชื่อเจ้าของ
2444,***  Remote  Update  Program  (วันที่  30/4/2569)  ให้  บ้านพฤกษา  77/1  ติดต่อ  นิติ  095-7871954  (ลูกค้าโอนเงินให้แล้ว  วันที่  30/4/69  จำนวน  3  755.70  บาท)  **//**  ออกใบเสร็จวันที่  30/4/2569  //เลขที่  69/0607
2445,ออกใบแจ้งหนี้ไปแล้ว  แต่ลืมเปลี่ยนเลขที่เริ่มต้น
2446,***  Remote  Update  Program  (วันที่  30/4/2569)  ให้  บ้านเอื้ออาทรเพชรเกษม  1  ติดต่อ  คุณมิ้น  063-1601611  (ลูกค้าโอนเงินให้แล้ว  วันที่  30/4/69  จำนวน  3  755.70  บาท)  **//**  ออกใบเสร็จวันที่  30/4/2569  //เลขที่  69/0606
2447,นิติบุคคลหมู่บ้านจัดสรร  สาริน  ซิตี้(สามลม)  0962201359  พี่ครับ  ฝากรบกวน  ดูระบบให้หน่อยครับ  เชื่อมต่อเน็ตแล้ว  แต่เข้าระบบไม่ได้ครับ  (ส่งมาทางไลน์  วันที่  30/4/2569)
2448,*****  IRM-Extra  (บอสตัน)  -  ส่งเมล์แจ้งใยังไม่มีเจ้าหน้าที่ซอฟบิตโทรหาหน้างาน   หน้างานออกใบเสร็จไม่ได้ค่ะ   รบกวนด้วยค่ะ  ติดต่อหน้างาน   0855404507  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  30/4/2569)
2449,บจ.บีเอ็มพี  แมนเนจเมนท์  0890950321  ค่ะ  ส่งข้อมูลรายชื่อลูกบ้าน  รบกวนขึ้นระบบ  ให้หน่อยค่ะ  (ส่งมาทางไลน์  วันที่  2/5/2569)
2450,สอบถามการดึงลูกหนี้ค้างชำระ
2451,ออกใบแจ้งค่าใช้จ่ายออกมาไม่จรงกับใบเสร็จ
2452,นิติบุคคลหมู่บ้านจัดสรร  สาริน  ซิตี้(สามลม)  0962201359  พี่ครับจากเมื่อวันก่อนที่สอบถามเรื่อง  เข้าโปรแกรมไม่ได้ครับ  พี่เขาบอกว่าเป็นที่สายเลน  แต่ตอนนี้ผมเช็คแล้ว  และต่อเรียบร้อยแล้ว  แต่ของผมก็ยังเข้าไม่ได้ครับ  แต่อีกเครื่องของหมู่บ้าน(สายลม)เข้าได้  เข้าไม่ได้แค่ของผมครับ  เลยไม่ทราบว่าเป็นเพราะเหตุใดครับ  (ส่งมาทางไลน์  วันที่  2/5/2569)
2453,***  IRM-Extra  (คอนโดบอสตัน)  -  ส่งเมล์แจ้ง  ไม่สามารถเข้าใช้งาน  พิมพ์ใบเสร็จได้  จากการตรวจสอบจากเจ้าหน้าที่ซอฟบิท  พบว่า  มี1รายการใบเสร็จใส่  พ.ศ.ผิด  ใบเสร็จเลขที่  00006981  วันที่11/05/2051  เลขที่ห้อง  1726/06  รบกวนเจ้าหน้าที่  แก้ไขให้ด้วยค่ะตัวอย่างตามไฟล์แนบ  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  2/5/2569)
2454,จะให้ลบข้อมูลในใบแจ้งหนี้ออก
2455,เปลี่ยนรายการใบแจ้งหนี้ค่าส่วนกลาง
2456,นิติคอนโดมานนท์  เพลสคะ  0924159436  ส่งหนังสือขอเพิ่มผู้ใช้งานระดับ  3  (ส่งมาทางไลน์  วันที่  2/5/2569)
2457,สอบถามเรื่องยอดค้างชำระในใบแจ้งหนี้
2458,สอบถามการปริ้นรายงานประจำเดือน
2459,***  ธนาทรี  -  ส่งเมล์ขอสอบถามมาให้  1.ระดับการเข้าถึงโปรแกรมซอพบิตของ  อาคารชุดธนาทรี  2.ระดับสูงสุดที่ธราทรีมีสิทธิ์คือถึงระดับไหน  3.การขอถึงระดับสูงสุดนั้นต้องใช้หลักฐานอะไรบ้าง  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  2/5/2569)
2460,ลูกค้าส่งหนังสือมาขอกู้ข้อมูล  (ส่งมาทางไลน์  วันที่  5/5/2569)
2461,***  หมู่บ้านปาริชาตรังสิตคลองสี่  -  ส่ง  Foramt  Excel  มาให้  Import  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  5/5/2569)
2462,***  เคหะชุมชนออเงิน  3  -  ส่งเมล์แจ้ง  แก้ไขเลขที่ใบเสร็จผิด  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  5/5/2569)
2463,ยอดหนี้ขึ้นเบิ้ล
2464,สอบถามเรื่องผู้ใช้งาน
2465,ตั้งค่าหน้ากระดาษ  A5
2466,เปิดเข้าโปรแกรมไม่ได้  ไฟล์เสีย
2467,เพิ่มข้อความในหนังสือเตือน
2468,จ่ายล่วงหน้าแล้วยอดยังโชว์อยู่
2469,***  Remote  Update  Program  (วันที่  5/5/2569)  ให้  วิลลาร์  นอร์เวย์  เรสซิเดนซ์  1  ติดต่อ  นิติ  098-2767106  (ลูกค้าฝากเช็คให้แล้ว  วันที่  30/4/69  จำนวน  4  056  บาท)
2470,โปรแกรมค้าง  รันลูกหนี้ไม่ได้
2471,หน่วยมิเตอร์น้ำไม่ขึ้น
2472,ส่งหนังสือขอเพิ่มผู้ใช้งานระดับ  3  (ส่งมาทางไลน์  วันที่  5/5/2569)
2473,ปริ้นใบเสร็จกระดาษไม่ต่อเนื่อง
2474,ลูกค้าขอใบเสนอราคา  MA-10%  ให้ส่งไปที่  Email:somprasong.bangkok@gmail.com
2475,***  IRM-Extra  (เดอะเชนจ์  คอนโด)  -  ส่งเมล์แจ้ง  เนื่องจากคอมพิวเตอร์เสีย  นำไปซ่อม   ทำให้ข้อมูลในระบบซอฟบิต  ตั้งแต่เดือน  ก.พ.69   หาย  รบกวนเจ้าหน้าสำรองข้อมูลจากอีกเครื่องเข้าให้ด้วยค่ะ ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  5/5/2569)
2476,ลูกค้าขอใบเสนอราคา  MA  ให้ส่งไปที่  Email:it@phuketvilla.com
2477,***  IRM  (โนเบิล  แอมเบียนส์  สารสิน)  -  ส่งเมล์แจ้ง  ใบแจ้งหนี้  ยอดรวมภาษาไทย  กับยอดรวมตัวเลข  ไม่ตรงกันค่ะ ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  5/5/2569)
2478,สอบถามปัญหาจุด  Lan
2479,แก้ไขข้อความ
2480,ยอดหนี้ไม่ขึ้น  ส่งคิวได้เลยค่ะ  ลูกค้าแจ้งจะฝากเช็คให้วันพรุ่งนี้ค่ะ
2481,***  ตอน  13.30  น.  Remote  Update  Program  (วันที่  5/5/2569)  ให้  เค.ลาย  แมนชั่น  ติดต่อ  นิติ  084-2942665  (ลูกค้าโอนเงินให้แล้ว  วันที่  23/2/69  จำนวน  3  650.40  บาท)  **//**  ออกใบเสร็จวันที่  23/2/2568  //เลขที่  69/0297
2482,ตั้งค่าเบี้ยปรับ
2483,ใบเสร็จขึ้นซ้ำ
2484,เปลี่ยนลายเซ็นต์ผู้มีอำนาจลงนาม
2485,จะเอาชื่อผู้ใช้งานคนเก่าออก
2486,ลูกค้าขอใบเสนอราคา  MA-10%  ให้ส่งไปที่  Email:life.rs.office@gmail.com
2487,แก้ไขเลขที่ใบเสร็จผิด
2488,สอบถามการเปลี่ยนข้อมูลในใบเสร็จ
2489,เข้าบันทึกใบเสร็จไม่ได้  ของหน่วยงาน  (ไทยลีการเกษตร)
2490,เรื่อง  จะให้เข้าไปหน้างาน  มีค่าใช้จ่ายเท่าไร
2491,***  บางกอกบูเลอวาร์ด-รามอินทรา  1  -  ส่งหนังสือ  ขอเปลี่ยนแปลงอำนาจผู้ใช้งานระดับ  1  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  6/5/2569)
2492,***  เคหะชุมชนออเงิน  3  -  ส่งหนังสือขอเปลี่ยนแปลงให้สามารถแก้ไขวันที่  และเลขที่ใบเสร็จได้  มาให้  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  6/5/2569)
2493,***  หมู่บ้านปาริชาตรังสิตคลอง  4  -  ส่ง  Format  Excel  (แก้ไข)  มาให้  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  6/5/2569)
2494,Remote  Update  Program  (วันที่  6/5/2569)  (ลูกค้าฝากเช็คให้แล้ว)  วันที่  27/3/2569  จำนวน  3  650.40  บาท)  **//**ออกใบเสร็จวันที่  27/3/2569  //เลขที่  69/0485
2495,***  Remote  Update  Program  (วันที่  6/5/2569)  ให้  บ้านเอื้ออาทรนาเกลือ  ติดต่อ  คุณอาย  0645793814  (ลูกค้าฝากเช็ค  วันที่  6/5/69  จำนวน  5  350  บาท)
2496,สอบถามปัญหาจุด  Lan(โทรหาช่างก่อน  เสร็จแล้วแจ้งที่นิติฯด้วยนะคะ)
2497,เพิ่มข้อความในใบแจ้งหนี้
2498,ใส่เลขที่บัญชีในใบแจ้งหนี้
2499,1.  เพิ่มรหัสแจ้งหนี้  2.กำหนดสิทธิ์ผู้ใช้งานระดับ  1
2500,สอบถามปัญหาการออกหนังสือเตือน
2501,ค่าไฟไม่ขึ้น
2502,ปริ้นท์ใบเสร็จวันที่ไม่ขึ้น
2503,GL  ขึ้นหมดอายุ
2504,จะลบข้อความในใบแจ้งหนี้
2505,***  IRM-Extra  (ซิตี้ลิงค์คอนโด  อาคารบอสตัน)  -  ส่งเมล์แจ้งแก้ไขการออกใบเสร็จ  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  6/5/2569)
2506,ออกบิลผิด
2507,Remote  Update  Program  (วันที่  6/5/2569)  (ลูกค้าโอนเงินมาให้แล้ว)  วันที่  6/3/2569  ยอด  5  200  บาท)**//**ออกใบเสร็จวันที่  6/3/2569  //เลขที่  69/0379
2508,ลูกค้าขอใบเสนอราคา  MA  ให้ส่งไปที่  Email:inciocondo10@gmail.com
2509,***  Remote  Update  Program  (วันที่  6/5/2569)  ให้  อนันดา  สปอร์ตไลฟ์  ติดต่อ  คุณเอ๋  0894974555  (ลูกค้าฝากเช็คให้แล้ว  วันที่  5/5/69  จำนวน  3  650.40  บาท)
2510,นิติบุคคลหมู่บ้านจัดสรร  สาริน  ซิตี้(สามลม)  0962201359  พี่ครับ  อยากให้แก้เบอร์กับอีเมลล์ในใบแจ้งหนี้ให้ครับ  (ส่งมาทางไลน์  วันที่  6/5/2569)
2511,รบกวนใส่ชื่อตรงช่องผู้รับเงินเป็นชื่อ  สภารัตน์  ให้หน่อยนะคะ  ขอบคุณค่ะ  กับตรงชื่อผู้มีอำนาจลงนาม  ก็แก้ไขเป็นชื่อ  สภารัตน์  ด้วยค่ะ  (ส่งมาทางไลน์  วันที่  6/5/2569)
2512,Setting  Printer  (ใบเสร็จ-ใบแจ้งหนี้)
